1732,125
1864,1009
904,2029
500,285
660,693
492,1217
516,1577
1964,1609
1696,1393
932,1665
188,1853
1048,1933
208,1105
924,17
1632,1545
872,217
1232,501
380,1349
728,1005
1592,1253
1532,1765
1100,849
1948,381
1480,1989
1216,353
772,901
436,1377
1132,205
1116,1637
196,1045
1560,565
1796,153
876,1857
152,1181
1388,457
808,1425
1700,1749
1620,273
820,89
400,473
1304,1249
1584,521
108,669
1672,517
1092,773
680,1417
1324,525
840,1829
384,589
4,165
1996,1197
1792,677
1108,33
480,617
312,561
548,1873
992,313
668,413
1748,661
1924,1509
388,401
656,1893
348,809
200,437
1096,905
368,405
1244,1117
1912,77
1716,1721
616,925
2000,513
1084,1369
0,433
980,1825
1992,533
120,1077
24,1789
984,1441
1296,241
1820,1085
2004,937
744,573
1644,1601
464,277
1228,761
504,569
92,1357
636,1841
700,629
1712,1405
1280,1433
528,81
1544,1717
1036,1585
708,1281
1224,1309
796,177
60,1797
1052,1517
1016,1101
572,1629
912,61
1692,833
1060,293
360,2021
1000,1189
16,1257
832,1921
1504,1097
2008,1149
336,1225
704,769
1364,1929
1840,1157
1424,1913
424,853
440,1397
1940,1709
780,1269
740,681
1276,1493
1868,601
1808,485
412,377
1564,1081
1908,1969
1156,53
1292,1761
1764,721
1664,121
2016,557
860,417
1972,1529
1456,197
584,1093
180,1437
1660,1581
128,41
1412,453
848,1645
1004,305
556,1833
32,349
1892,597
564,1917
392,1557
1528,1981
824,1633
28,1865
252,709
260,581
156,1653
612,793
232,1565
1728,481
1928,1001
1148,977
1448,477
1804,1777
1812,1673
1208,1961
1184,577
428,1705
784,1333
1524,1013
1372,21
372,233
316,1713
1668,257
852,1221
160,329
292,45
1616,337
296,373
748,1801
184,1693
976,1621
52,1877
116,1549
996,37
1536,1029
512,1785
800,1
620,1305
1956,1985
212,185
404,1881
960,857
1752,1541
1648,741
2028,1845
788,893
536,245
916,1497
1852,701
216,1525
192,861
1976,1861
1368,545
320,281
596,1173
944,1957
1172,1561
1944,2025
1380,333
1068,265
1044,2033
1784,897
760,2001
1436,221
1256,1201
44,641
952,137
1816,1485
2032,537
268,157
284,1245
356,1041
1916,1949
1824,1065
2040,469
1220,813
1600,1953
1608,2037
812,113
1144,865
1904,1745
148,93
1768,1285
864,57
1168,397
228,9
1776,1885
1040,1505
1636,1153
1512,1937
1428,1353
896,429
344,345
1272,1445
1596,1121
288,49
632,1805
1332,1725
1652,1753
496,609
488,1769
264,625
580,1461
604,1457
168,25
676,993
2012,1261
540,665
352,213
1188,613
988,961
1432,1477
1444,5
376,1889
1780,173
804,1297
1392,969
544,1793
836,673
1340,1465
568,1273
100,1657
868,421
1352,1453
2020,797
1684,361
920,193
124,65
444,689
1312,965
508,777
308,1813
1416,737
1140,2009
1468,1669
1508,1373
1240,1061
1192,1521
1056,1021
856,765
956,825
560,1649
1032,1925
1876,705
1260,325
692,1781
1720,789
244,1909
592,1025
88,889
1452,13
688,449
648,949
1736,101
1320,117
1128,261
664,1641
340,729
948,465
36,149
1484,181
1612,1185
1464,1849
1552,1993
1356,289
476,1733
588,1617
452,309
420,1661
844,1773
432,73
1152,917
756,909
112,489
1676,369
1828,805
1308,845
624,1137
1896,1489
1176,1421
1080,1341
80,1809
332,585
1440,549
224,1481
792,1569
276,649
1572,1329
1920,1233
776,1817
468,1589
1476,269
328,745
724,341
2024,1301
1300,29
1724,953
1408,1597
1236,2013
908,1141
300,1449
1024,105
240,1757
1328,1229
324,869
576,885
456,201
204,1869
520,1821
1708,1193
132,365
2044,621
1588,1017
1348,1501
524,1401
1772,989
1488,389
40,1293
752,301
8,829
732,985
1288,321
1196,497
644,1689
764,941
1012,189
1112,133
1252,725
1568,841
176,1677
628,1321
64,445
84,1837
1960,633
72,1977
1020,1513
1268,1053
396,757
1200,1125
1576,645
1548,1409
1984,1169
1164,657
936,1897
1136,697
1400,1997
256,933
1104,129
1028,929
888,2045
1848,1265
1472,1241
1844,1697
1756,169
532,1129
1284,1613
720,253
640,753
1516,1573
56,1905
608,109
472,297
684,1209
1900,1133
408,493
104,717
1008,1033
1968,1049
1988,505
1336,1069
1656,1941
1316,1473
1088,2005
136,1057
972,913
484,1593
1836,1177
272,945
1872,1345
1404,1165
1120,141
1520,1965
716,1089
1492,781
20,1533
1740,1213
696,1413
1376,1429
1360,593
1860,973
1884,1317
828,1737
448,2041
1952,1361
1248,1389
1856,1625
1160,749
2036,1109
1076,1681
1072,229
1788,1553
672,1685
140,509
1888,1729
712,1605
1936,409
1212,873
880,225
1628,145
1604,1205
1688,385
1624,1325
1680,529
1540,441
768,161
1420,1161
1396,713
304,1381
236,733
68,97
900,605
1640,425
1384,69
144,877
364,801
1832,1741
1344,1073
460,1901
968,981
1980,653
1460,461
736,1277
1204,85
1932,1313
652,957
940,1701
884,317
1124,1537
552,1385
816,1113
964,837
1800,249
892,1037
248,1945
48,817
12,1973
928,821
416,921
1760,2017
172,785
76,237
1500,1337
600,209
220,997
164,553
1264,1289
1580,357
1180,541
1744,685
1496,1145
1064,1469
1880,1237
280,1365
1556,393
1704,637
96,881
1902,1415
1706,767
346,647
846,207
86,1199
726,195
1486,1671
1126,135
1474,1979
1506,679
454,727
966,667
522,263
1162,1687
1218,687
178,1923
270,1823
1618,823
1026,1695
1954,1795
814,1867
1854,623
650,499
1310,1883
386,379
674,855
462,1215
1922,1943
1482,567
994,599
1498,2011
1082,695
1610,1075
922,483
550,87
494,1575
1294,2035
1886,1471
1686,227
82,7
1794,111
422,1747
782,1195
834,1507
746,927
538,643
2014,1223
1330,2031
702,1555
1778,311
1910,1579
1638,487
94,327
670,1171
622,1903
826,1559
1134,1491
554,1387
1118,215
1422,1759
1966,875
910,2007
1406,1347
182,571
